CharacterName|WikiLink
Unidentified Ravenclaw student asked to the Yule Ball by a Durmstrang student|Unidentified_Ravenclaw_student_asked_to_the_Yule_Ball_by_a_Durmstrang_student
Unidentified Ravenclaw Substitute Seeker|Unidentified_Ravenclaw_Substitute_Seeker
Uric the Oddball|Uric_the_Oddball
Gerald Vickers|Gerald_Vickers
Myrtle Warren|Myrtle_Warren
Ignatia Wildsmith|Ignatia_Wildsmith
Gerard Willerby|Gerard_Willerby
Talbott Winger|Talbott_Winger
Aron Woodbridge|Aron_Woodbridge
Nigel Wroxton|Nigel_Wroxton
Mizuho Yoshii|Mizuho_Yoshii
Zoe Accrington|Zoe_Accrington
Uchi Akimbo|Uchi_Akimbo
Duncan Ashe|Duncan_Ashe
Avery I|Avery_I
Avery II|Avery_II
Malcolm Baddock|Malcolm_Baddock
Tabitha Bainbridge|Tabitha_Bainbridge
Sadie Baldock|Sadie_Baldock
Tristram Bassenthwaite|Tristram_Bassenthwaite
Darius Berrow|Darius_Berrow
Bespectacled Slytherin girl|Bespectacled_Slytherin_girl
Yatin Bhagat|Yatin_Bhagat
Kinjal Bhatia|Kinjal_Bhatia
Vicky Bishopper|Vicky_Bishopper
Callidora Black|Callidora_Black
Cassiopeia Black|Cassiopeia_Black
Charis Black|Charis_Black
Cygnus Black III|Cygnus_Black_III
Dorea Black|Dorea_Black
Lucretia Black|Lucretia_Black
Orion Black|Orion_Black
Phineas Nigellus Black|Phineas_Nigellus_Black
Regulus Black|Regulus_Black
Walburga Black|Walburga_Black
Kevin Bletchley|Kevin_Bletchley
Miles Bletchley|Miles_Bletchley
Lucian Bole|Lucian_Bole
Craig Bowker Junior|Craig_Bowker_Junior
Unidentified boy who attended Charm School|Unidentified_boy_who_attended_Charm_School
Boy who failed Avifors Spell's cousin|Boy_who_failed_Avifors_Spell%27s_cousin
Boy who owned a magic hamster|Boy_who_owned_a_magic_hamster
Cameron Boyle|Cameron_Boyle
Bridget|Bridget
Nerissa Brody|Nerissa_Brody
Millicent Bulstrode|Millicent_Bulstrode
Elizabeth Burke|Elizabeth_Burke
Alecto Carrow|Alecto_Carrow
Amycus Carrow|Amycus_Carrow
Flora Carrow|Flora_Carrow
Hestia Carrow|Hestia_Carrow
Diane Carter|Diane_Carter
Cassandra (Hogwarts student)|Cassandra_(Hogwarts_student)
Fergus Cowley|Fergus_Cowley
Stuart Craggy|Stuart_Craggy
Irving Cram (II)|Irving_Cram_(II)
Winky Crockett (Slytherin)|Winky_Crockett_(Slytherin)
Sebastian Daley|Sebastian_Daley
Dan Darker|Dan_Darker
Tracey Davis|Tracey_Davis
Simon Dedworth (II)|Simon_Dedworth_(II)
Peregrine Derrick|Peregrine_Derrick
Draco Malfoy's gang|Draco_Malfoy%27s_gang
Slytherin Duelling Club Captain|Slytherin_Duelling_Club_Captain
Bowen Duffield|Bowen_Duffield
Dungeon Corridor Slytherin prefect (I)|Dungeon_Corridor_Slytherin_prefect_(I)
Dungeon Corridor Slytherin prefect (II)|Dungeon_Corridor_Slytherin_prefect_(II)
Curtis Evercreech|Curtis_Evercreech
Gemma Farley|Gemma_Farley
Penelope Fawley|Penelope_Fawley
Sixth-Year Inquisitorial Squad Member|Sixth-Year_Inquisitorial_Squad_Member
Marcus Flint|Marcus_Flint
Colby Frey|Colby_Frey
Fisher Frey|Fisher_Frey
Amy Frome|Amy_Frome
Gang of Slytherins|Gang_of_Slytherins
Corvinus Gaunt|Corvinus_Gaunt
Gormlaith Gaunt|Gormlaith_Gaunt
Damon Gosforth|Damon_Gosforth
Mathilda Greenford|Mathilda_Greenford
Daphne Greengrass|Daphne_Greengrass
Amrish Gupta|Amrish_Gupta
Yurika Haneda|Yurika_Haneda
Niles Hanley|Niles_Hanley
Harper|Harper
Maynard Hatton|Maynard_Hatton
Head of Slytherin House|Head_of_Slytherin_House
Terence Higgs|Terence_Higgs
Robin Higgy|Robin_Higgy
Manami Ichijoh|Manami_Ichijoh
Malcolm Ilminster|Malcolm_Ilminster
Jody Jacknife|Jody_Jacknife
Trupti Kadam|Trupti_Kadam
Sourav Kartik|Sourav_Kartik
Zubeida Khan|Zubeida_Khan
Jo King (Slytherin)|Jo_King_(Slytherin)
Unidentified Slytherin knight|Unidentified_Slytherin_knight
Kris Kolumbiko|Kris_Kolumbiko
Hirohisa Kubo|Hirohisa_Kubo
Jess Lafington|Jess_Lafington
Neil Lament|Neil_Lament
Steve Laughalot|Steve_Laughalot
Maxwell Lazenby|Maxwell_Lazenby
Holden Ledbury|Holden_Ledbury
Barnaby Lee |Barnaby_Lee_
Lestrange|Lestrange
Leta Lestrange|Leta_Lestrange
Rodolphus Lestrange|Rodolphus_Lestrange
Gabriel Lithgow|Gabriel_Lithgow
Xander Lofthouse|Xander_Lofthouse
Russell Lucky|Russell_Lucky
Scarlett Lympsham|Scarlett_Lympsham
Charles Machin|Charles_Machin
Mafalda|Mafalda
David Makehay|David_Makehay
Abraxas Malfoy|Abraxas_Malfoy
Draco Malfoy|Draco_Malfoy
Lucius Malfoy|Lucius_Malfoy
Narcissa Malfoy|Narcissa_Malfoy
Scorpius Malfoy|Scorpius_Malfoy
Thomas McGruder|Thomas_McGruder
Gertrude Meads|Gertrude_Meads
Sylvia Melville|Sylvia_Melville
Merlin|Merlin
Merula Snyde's gang|Merula_Snyde%27s_gang
Glynis Mexborough|Glynis_Mexborough
Byron Miller|Byron_Miller
Titus Mitcham|Titus_Mitcham
Agnes Monkleigh|Agnes_Monkleigh
Graham Montague|Graham_Montague
Selina Moore|Selina_Moore
Timothy Morcott|Timothy_Morcott
Daryl Morden|Daryl_Morden
Shawn Morris|Shawn_Morris
Mulciber II|Mulciber_II
Ismelda Murk|Ismelda_Murk
Adelaide Murton|Adelaide_Murton
Irfan Mustaq|Irfan_Mustaq
Tracey Nettlebed|Tracey_Nettlebed
Garrick Newbourne|Garrick_Newbourne
Nigel's nephew|Nigel%27s_nephew
Theodore Nott|Theodore_Nott
Nerys Orpington|Nerys_Orpington
Mark Overcliff|Mark_Overcliff
Pansy Parkinson's gang|Pansy_Parkinson%27s_gang
Ona Parangyo|Ona_Parangyo
Pansy Parkinson|Pansy_Parkinson
Mildred Peebles|Mildred_Peebles
Ursula Penkridge|Ursula_Penkridge
Horatio Pershore|Horatio_Pershore
Peter|Peter
Ronald Phipps|Ronald_Phipps
Pike|Pike
Albus Potter|Albus_Potter
Graham Pritchard|Graham_Pritchard
Adrian Pucey|Adrian_Pucey
Abigail Pugh|Abigail_Pugh
Gordon Pummell (II)|Gordon_Pummell_(II)
Bastien Queensbury|Bastien_Queensbury
Hayley Quentin|Hayley_Quentin
Rachel|Rachel
Katie Rayknolls|Katie_Rayknolls
Viola Richmond|Viola_Richmond
Michael Robinson|Michael_Robinson
Evan Rosier|Evan_Rosier
Felix Rosier|Felix_Rosier
Muriel Rothley|Muriel_Rothley
Hortense Rowland|Hortense_Rowland
Megan Rowstock|Megan_Rowstock
Roy|Roy
Scabior|Scabior
Gideon Scalby|Gideon_Scalby
Poonima Shah|Poonima_Shah
Olivia Shardlow|Olivia_Shardlow
Bhupen Shastri|Bhupen_Shastri
Archana Shetty|Archana_Shetty
Reiko Shibazaki|Reiko_Shibazaki
Horace Slughorn|Horace_Slughorn
Slytherin boy who drank a botched potion|Slytherin_boy_who_drank_a_botched_potion
Slytherin student that blames Harry Potter (I)|Slytherin_student_that_blames_Harry_Potter_(I)
Slytherin student that blames Harry Potter (II)|Slytherin_student_that_blames_Harry_Potter_(II)
Slytherin Wizard Duelling Champion|Slytherin_Wizard_Duelling_Champion
Slytherin Wizard's Chess champion|Slytherin_Wizard%27s_Chess_champion
Salazar Slytherin|Salazar_Slytherin
Andrew Snowy Owl (Slytherin)|Andrew_Snowy_Owl_(Slytherin)
Merula Snyde|Merula_Snyde
Merula Snyde's father|Merula_Snyde%27s_father
Merula Snyde's mother|Merula_Snyde%27s_mother
Mark Sommertime|Mark_Sommertime
Grant Sparkford|Grant_Sparkford
Cole Spencer|Cole_Spencer
Norman Stacey|Norman_Stacey
Imogen Stretton|Imogen_Stretton
Junpei Suruga|Junpei_Suruga
Alex Sykes (II)|Alex_Sykes_(II)
Atsushi Takagi|Atsushi_Takagi
Lucinda Talkalot|Lucinda_Talkalot
Vikram Thakur|Vikram_Thakur
Heather Thatcham|Heather_Thatcham
Third Floor Corridor Slytherin prefect|Third_Floor_Corridor_Slytherin_prefect
Third Floor Slytherin Prefect|Third_Floor_Slytherin_Prefect
Tom Riddle's gang|Tom_Riddle%27s_gang
Liz Tuttle|Liz_Tuttle
Dolores Umbridge|Dolores_Umbridge
Unidentified blonde Slytherin girl|Unidentified_blonde_Slytherin_girl
Unidentified Slytherin Beater|Unidentified_Slytherin_Beater
Unidentified Slytherin Beater (II)|Unidentified_Slytherin_Beater_(II)
Unidentified Slytherin boy (I)|Unidentified_Slytherin_boy_(I)
Unidentified Slytherin boy in the Battle of Hogwarts|Unidentified_Slytherin_boy_in_the_Battle_of_Hogwarts
Unidentified Slytherin girl (I)|Unidentified_Slytherin_girl_(I)
Unidentified Slytherin girl (IV)|Unidentified_Slytherin_girl_(IV)
Unidentified Slytherin Keeper|Unidentified_Slytherin_Keeper
Urquhart|Urquhart
Vaisey|Vaisey
Emma Vanity (Slytherin)|Emma_Vanity_(Slytherin)
Cassius Warrington|Cassius_Warrington
Spencer Whiddon|Spencer_Whiddon
Phylis Whitehead|Phylis_Whitehead
Wilkes|Wilkes
Ella Wilkins|Ella_Wilkins
Rufus Winickus|Rufus_Winickus
Blaise Zabini|Blaise_Zabini
Adrian|Adrian
Orion Amari|Orion_Amari
Bertram Aubrey|Bertram_Aubrey
Bean|Bean
Damocles Belby|Damocles_Belby
Albert Bellchant|Albert_Bellchant
Billingsley|Billingsley
Bilton Bilmes|Bilton_Bilmes
Bletchley (musician)|Bletchley_(musician)
Melinda Bobbin|Melinda_Bobbin
David Boorman II|David_Boorman_II
D. L. Boot|D._L._Boot
Boy who failed Avifors Spell|Boy_who_failed_Avifors_Spell
Boy who played Sir Luckless|Boy_who_played_Sir_Luckless
Felix Brunt (I)|Felix_Brunt_(I)
Felix Brunt (II)|Felix_Brunt_(II)
Flora Buchanan|Flora_Buchanan
Hamish Buchanan|Hamish_Buchanan
Zygmunt Budge|Zygmunt_Budge
K. Bundy|K._Bundy
Bunty|Bunty
Timothy Butler|Timothy_Butler
B. C.|B._C.
S. Capper|S._Capper
Luca Caruso (wizard)|Luca_Caruso_(wizard)
Cedric|Cedric
Stephen Cornfoot|Stephen_Cornfoot
Irving Cram (I)|Irving_Cram_(I)
Dirk Cresswell|Dirk_Cresswell
Barnabas Cuffe|Barnabas_Cuffe
Davis|Davis
John Dawlish|John_Dawlish
Simon Dedworth (I)|Simon_Dedworth_(I)
Derek (turtle talker)|Derek_(turtle_talker)
Harold Dingle|Harold_Dingle
Armando Dippet|Armando_Dippet
Distractible Douglas|Distractible_Douglas
Elphias Doge|Elphias_Doge
J. Dorny|J._Dorny
Kirley Duke|Kirley_Duke
Elora Dunn|Elora_Dunn
B. Dunstan|B._Dunstan
Kevin Entwhistle|Kevin_Entwhistle
Erika Rath's friend I|Erika_Rath%27s_friend_I
Erika Rath's friend II|Erika_Rath%27s_friend_II
Dahlia F.|Dahlia_F.
Face Paint Kid|Face_Paint_Kid
Mundungus Fletcher|Mundungus_Fletcher
Florence|Florence
Florence's boyfriend|Florence%27s_boyfriend
Fiesella Foss|Fiesella_Foss
Cornelius Fudge|Cornelius_Fudge
Ross Gibberd (I)|Ross_Gibberd_(I)
Miranda Goshawk|Miranda_Goshawk
Mathilda Grimblehawk|Mathilda_Grimblehawk
Davey Gudgeon|Davey_Gudgeon
Karl H.|Karl_H.
Hogwarts Express conductor|Hogwarts_Express_conductor
Hogwarts potions champion|Hogwarts_potions_champion
Unidentified Hogwarts student interested in earth magic|Unidentified_Hogwarts_student_interested_in_earth_magic
Hogwarts student that bets on Fleur Delacour|Hogwarts_student_that_bets_on_Fleur_Delacour
Hogwarts student that blames Harry Potter|Hogwarts_student_that_blames_Harry_Potter
Olive Hornby|Olive_Hornby
Jacob (Hogwarts student)|Jacob_(Hogwarts_student)
Jacob's sibling|Jacob%27s_sibling
James Potter II's friends|James_Potter_II%27s_friends
Jarrett|Jarrett
Karl Jenkins|Karl_Jenkins
Gwenog Jones|Gwenog_Jones
Bertha Jorkins|Bertha_Jorkins
Rowan Khanna|Rowan_Khanna
Cecil Lee|Cecil_Lee
Augusta Longbottom|Augusta_Longbottom
Louise|Louise
Louise's admirer|Louise%27s_admirer
Luisa|Luisa
Lyall Lupin|Lyall_Lupin
Mary Macdonald|Mary_Macdonald
Morag MacDougal|Morag_MacDougal
Dominic Maestro|Dominic_Maestro
Paul Males|Paul_Males
Astoria Malfoy|Astoria_Malfoy
Roger Malone|Roger_Malone
Mary I|Mary_I
Mathilda Grimblehawk's partner|Mathilda_Grimblehawk%27s_partner
Murphy McNully|Murphy_McNully
Sean Miller|Sean_Miller
Montgomery sisters|Montgomery_sisters
Lily Moon|Lily_Moon
Morag|Morag
Angelus Moriattis|Angelus_Moriattis
Maurice Netto|Maurice_Netto
Nott|Nott
Daniel Page|Daniel_Page
Ethan Parkin|Ethan_Parkin
Skye Parkin|Skye_Parkin
Sally-Anne Perks|Sally-Anne_Perks
Constance Pickering|Constance_Pickering
J. E. Prewitt|J._E._Prewitt
Eileen Prince|Eileen_Prince
Gordon Pummell (I)|Gordon_Pummell_(I)
Erika Rath|Erika_Rath
Ivan Renshaw (I)|Ivan_Renshaw_(I)
Ivan Renshaw (II)|Ivan_Renshaw_(II)
Oliver Rivers|Oliver_Rivers
Roger Davies's girlfriend|Roger_Davies%27s_girlfriend
Sophie Roper|Sophie_Roper
Ross Gibberd (II)|Ross_Gibberd_(II)
Isobel Ross|Isobel_Ross
Marina Sanchez|Marina_Sanchez
Kingsley Shacklebolt|Kingsley_Shacklebolt
Shady Character|Shady_Character
Wendy Slinkhard|Wendy_Slinkhard
Sally Smith|Sally_Smith
Squibbert|Squibbert
Stebbins (Marauder-era)|Stebbins_(Marauder-era)
Patricia Stimpson|Patricia_Stimpson
Bethany Swordbane|Bethany_Swordbane
Alex Sykes (I)|Alex_Sykes_(I)
Tyra Teegarden|Tyra_Teegarden
Alice Tolipan (witch)|Alice_Tolipan_(witch)
Lottie Turner|Lottie_Turner
Unidentified 19th-century Hogwarts student|Unidentified_19th-century_Hogwarts_student
Unidentified 2000s Hogwarts student|Unidentified_2000s_Hogwarts_student
Unidentified Beater|Unidentified_Beater
Unidentified boy during the 1996 Quidditch match (I)|Unidentified_boy_during_the_1996_Quidditch_match_(I)
Unidentified boy in a corridor|Unidentified_boy_in_a_corridor
Unidentified boy in the Great Hall (I)|Unidentified_boy_in_the_Great_Hall_(I)
Unidentified boy in the Great Hall (II)|Unidentified_boy_in_the_Great_Hall_(II)
Unidentified boy in the Great Hall (III)|Unidentified_boy_in_the_Great_Hall_(III)
Unidentified Chaser|Unidentified_Chaser
Unidentified Choir Member (II)|Unidentified_Choir_Member_(II)
Unidentified Clumsy Hogwarts Violist|Unidentified_Clumsy_Hogwarts_Violist
Unidentified female Hogwarts student who helped Unidentified Female Hogwarts teacher (XII)|Unidentified_female_Hogwarts_student_who_helped_Unidentified_Female_Hogwarts_teacher_(XII)
Unidentified fifth year girl|Unidentified_fifth_year_girl
Unidentified first year boy|Unidentified_first_year_boy
Unidentified fourth year Chaser|Unidentified_fourth_year_Chaser
Unidentified girl during the Battle of Hogwarts|Unidentified_girl_during_the_Battle_of_Hogwarts
Unidentified girl in the Great Hall (I)|Unidentified_girl_in_the_Great_Hall_(I)
Unidentified Keeper|Unidentified_Keeper
Unidentified Minister of Magical Transportation|Unidentified_Minister_of_Magical_Transportation
Unidentified petrified boy|Unidentified_petrified_boy
Unidentified petrified girl|Unidentified_petrified_girl
Unidentified petrified girl (II)|Unidentified_petrified_girl_(II)
Unidentified petrified student|Unidentified_petrified_student
Unidentified Potions student|Unidentified_Potions_student
Unidentified Seeker|Unidentified_Seeker
Unidentified third year boy|Unidentified_third_year_boy
Thomas Vace|Thomas_Vace
Myron Wagtail|Myron_Wagtail
Walker (Hogwarts student)|Walker_(Hogwarts_student)
Ivy Warrington|Ivy_Warrington
Panju Weasley|Panju_Weasley
Victoire Weasley|Victoire_Weasley
Simon Wilkinson|Simon_Wilkinson
William (Hogwarts student)|William_(Hogwarts_student)
Winston's niece|Winston%27s_niece
Eldred Worple|Eldred_Worple
Alastair|Alastair
Aragog|Aragog
Chavelle Arbelo Cartaya|Chavelle_Arbelo_Cartaya
Babayaga|Babayaga
Bogrod|Bogrod
Clever goblin|Clever_goblin
Fawkes|Fawkes
Forest Vault Acromantula|Forest_Vault_Acromantula
Inigo Fuente Marrero|Inigo_Fuente_Marrero
Gnarlak|Gnarlak
Goblin jazz singer|Goblin_jazz_singer
Griphook|Griphook
Lee Jordan's tarantula|Lee_Jordan%27s_tarantula
Ludovic Bagman's goblin creditors|Ludovic_Bagman%27s_goblin_creditors
Magic goblin|Magic_goblin
Olympe Maxime|Olympe_Maxime
Merwyn the Malicious|Merwyn_the_Malicious
Mosag|Mosag
Peeves|Peeves
Pickett|Pickett
Portrait of a goblin|Portrait_of_a_goblin
Red|Red
Ricbert|Ricbert
Ripper|Ripper
Sickleworth|Sickleworth
Snaglok|Snaglok
Sparky|Sparky
Tall goblin|Tall_goblin
Trevor|Trevor
Unidentified female Common Welsh Green|Unidentified_female_Common_Welsh_Green
Unidentified goblin associate of Oswald Beamish|Unidentified_goblin_associate_of_Oswald_Beamish
Unidentified Goblin at Gringotts (VIII)|Unidentified_Goblin_at_Gringotts_(VIII)
Unidentified Goblin at Gringotts in 1998 (I)|Unidentified_Goblin_at_Gringotts_in_1998_(I)
Unidentified Goblin at Gringotts in 1998 (II)|Unidentified_Goblin_at_Gringotts_in_1998_(II)
Unidentified Goblin at Gringotts in 1998 (III)|Unidentified_Goblin_at_Gringotts_in_1998_(III)
Unidentified Goblin at Gringotts in 1998 (IV)|Unidentified_Goblin_at_Gringotts_in_1998_(IV)
Unidentified Goblin at Gringotts in 1998 (V)|Unidentified_Goblin_at_Gringotts_in_1998_(V)
Unidentified Goblin at Gringotts in 1998 (VI)|Unidentified_Goblin_at_Gringotts_in_1998_(VI)
Unidentified goblin stockbroker|Unidentified_goblin_stockbroker
Arnold Vogler|Arnold_Vogler
Ludovic Bagman|Ludovic_Bagman
Chastity Barebone|Chastity_Barebone
Mary Lou Barebone|Mary_Lou_Barebone
Modesty Barebone|Modesty_Barebone
Musidora Barkwith|Musidora_Barkwith
Astor Bellchant|Astor_Bellchant
Balfour Blane|Balfour_Blane
Kursten Blijk|Kursten_Blijk
Boil-ridden house-elf|Boil-ridden_house-elf
Broom Shop shopkeeper|Broom_Shop_shopkeeper
Greta Catchlove|Greta_Catchlove
Mary Cattermole|Mary_Cattermole
Jacturus Cloke III|Jacturus_Cloke_III
Magenta Comstock|Magenta_Comstock
Gideon Crumb|Gideon_Crumb
Lorcan d'Eath|Lorcan_d%27Eath
Fleur Delacour|Fleur_Delacour
Daisy Dodderidge|Daisy_Dodderidge
Aberforth Dumbledore|Aberforth_Dumbledore
Dudley Dursley|Dudley_Dursley
Firenze|Firenze
Flavius Belby|Flavius_Belby
Keaton Flitney|Keaton_Flitney
Fulbert the Fearful|Fulbert_the_Fearful
Gigantic serpent|Gigantic_serpent
Hans|Hans
Peter Hansen|Peter_Hansen
Bethany Harrison|Bethany_Harrison
Hengist of Upper Barnton|Hengist_of_Upper_Barnton
Phillipus von Hohenheim|Phillipus_von_Hohenheim
Igor Karkaroff|Igor_Karkaroff
Elladora Ketteridge|Elladora_Ketteridge
Asgeir Knutsen|Asgeir_Knutsen
Maeve|Maeve
Mathilde Mallard|Mathilde_Mallard
Tarquin McTavish|Tarquin_McTavish
Mildred|Mildred
Mopsus (antiquity)|Mopsus_(antiquity)
Morgan le Fay|Morgan_le_Fay
Burdock Muldoon|Burdock_Muldoon
Mulpepper|Mulpepper
Idris Oakby|Idris_Oakby
Dunbar Oglethorpe|Dunbar_Oglethorpe
Old Mother Hubbard|Old_Mother_Hubbard
Chauncey Oldridge|Chauncey_Oldridge
Patrick|Patrick
Glanmore Peakes|Glanmore_Peakes
Justus Pilliwickle|Justus_Pilliwickle
Roderick Plumpton|Roderick_Plumpton
Mirabella Plunkett|Mirabella_Plunkett
Gulliver Pokeby|Gulliver_Pokeby
Potage|Potage
Percival Pratt|Percival_Pratt
Paloma Proudfoot|Paloma_Proudfoot
Hambledon Quince|Hambledon_Quince
Mnemone Radford|Mnemone_Radford
Percival Shacklehorn|Percival_Shacklehorn
Edessa Skandenberg|Edessa_Skandenberg
St Mungo's Welcome Witch|St_Mungo%27s_Welcome_Witch
Erica Stainwright|Erica_Stainwright
Blenheim Stalk|Blenheim_Stalk
Edgar Stroulger|Edgar_Stroulger
Sugarplum|Sugarplum
Havelock Sweeting|Havelock_Sweeting
Jocunda Sykes|Jocunda_Sykes
Robertus Tallis|Robertus_Tallis
Tilly Toke|Tilly_Toke
Alberta Toothill|Alberta_Toothill
Tilden Toots|Tilden_Toots
Norvel Twonk|Norvel_Twonk
Ug the Unreliable|Ug_the_Unreliable
Unidentified Muggle man|Unidentified_Muggle_man
Unidentified newspaper vendor|Unidentified_newspaper_vendor
Viking Girl|Viking_Girl
Pyotr Vulchanov|Pyotr_Vulchanov
Joscelind Wadcock|Joscelind_Wadcock
Fabius Watkins|Fabius_Watkins
Konrad Weiss|Konrad_Weiss
Devlin Whitehorn|Devlin_Whitehorn
Winifred Whittle|Winifred_Whittle
Stoddard Withers|Stoddard_Withers
Bowman Wright|Bowman_Wright
Omar Abasi|Omar_Abasi
Alguff the Awful|Alguff_the_Awful
Alanza Alves|Alanza_Alves
Michael Babatola|Michael_Babatola
Gwendoline Babcocke|Gwendoline_Babcocke
Humphrey Balsamo|Humphrey_Balsamo
Credence Barebone|Credence_Barebone
Barnabas the Barmy|Barnabas_the_Barmy
Mungo Bonham|Mungo_Bonham
Chadwick Boot|Chadwick_Boot
Webster Boot|Webster_Boot
Borf|Borf
Bran the Bloodthirsty|Bran_the_Bloodthirsty
Indira Choudry|Indira_Choudry
Circe|Circe
Antonia Creaseworthy|Antonia_Creaseworthy
Myra Curio|Myra_Curio
Cyclops|Cyclops
Dougal|Dougal
Troy Duvall|Troy_Duvall
Eargit the Ugly|Eargit_the_Ugly
Wilfred Elphick|Wilfred_Elphick
Ethelred the Ever-Ready|Ethelred_the_Ever-Ready
Gianni Fedele|Gianni_Fedele
Fluffy|Fluffy
Ulick Gamp|Ulick_Gamp
Carmen Garcia|Carmen_Garcia
Marvolo Gaunt|Marvolo_Gaunt
George von Rheticus|George_von_Rheticus
Porpentina Goldstein|Porpentina_Goldstein
Merton Graves|Merton_Graves
Grawp|Grawp
Robert Green|Robert_Green
Gareth Greengrass|Gareth_Greengrass
Gringott|Gringott
Avery Hawksworth|Avery_Hawksworth
Ernest Hawkworth|Ernest_Hawkworth
Healer (Diagon Alley)|Healer_(Diagon_Alley)
Daisy Hookum|Daisy_Hookum
Gordon Horton|Gordon_Horton
Igor Karkaroff's Yule Ball partner|Igor_Karkaroff%27s_Yule_Ball_partner
Karkaroff's Aide|Karkaroff%27s_Aide
Koldovstoretz potions champion|Koldovstoretz_potions_champion
Jacob Kowalski|Jacob_Kowalski
Hildegarde Lafarge|Hildegarde_Lafarge
Fifi LaFolle|Fifi_LaFolle
Laurentia Fletwock|Laurentia_Fletwock
Ana de Lebron|Ana_de_Lebron
Jacqueline Lejeune|Jacqueline_Lejeune
Eduardo Lima Filho|Eduardo_Lima_Filho
Tina Lundstrom|Tina_Lundstrom
Magnus|Magnus
Manager of Gambol and Japes Wizarding Joke Shop|Manager_of_Gambol_and_Japes_Wizarding_Joke_Shop
Josephine Marat|Josephine_Marat
Dorcas Meadowes|Dorcas_Meadowes
Kylie Meadows|Kylie_Meadows
Maria Monteith|Maria_Monteith
Morholt|Morholt
Debbie Muntz|Debbie_Muntz
Gondoline Oliphant|Gondoline_Oliphant
Blythe Parkin|Blythe_Parkin
Seraphina Picquery|Seraphina_Picquery
Vasco Santini|Vasco_Santini
Noriyuki Sato|Noriyuki_Sato
Ninon Saucet|Ninon_Saucet
Lydia Scarlett|Lydia_Scarlett
Derwent Shimpling|Derwent_Shimpling
Leticia Somnolens|Leticia_Somnolens
Hesper Starkey|Hesper_Starkey
Martha Steward II|Martha_Steward_II
Felix Summerbee|Felix_Summerbee
Laura Thorn|Laura_Thorn
Timothy the Timid|Timothy_the_Timid
Kurt Todt|Kurt_Todt
Tofty|Tofty
Torvus|Torvus
Villanelle|Villanelle
Edric Vosper|Edric_Vosper
Waitress at Treats|Waitress_at_Treats
Shizuka Watanabe|Shizuka_Watanabe
Kelly Whakkaarangapawarau|Kelly_Whakkaarangapawarau
William (Pukwudgie)|William_(Pukwudgie)
Winky|Winky
Wizard in white robes|Wizard_in_white_robes
Yaxley (1920s)|Yaxley_(1920s)
Cornelius Agrippa|Cornelius_Agrippa
Olaf Andersen|Olaf_Andersen
Beatrix Bloxam|Beatrix_Bloxam
Igor Brand|Igor_Brand
Cassius Bell|Cassius_Bell
Elfrida Clagg|Elfrida_Clagg
Cliodna|Cliodna
Cobb & Webb's shopkeeper|Cobb_%26_Webb%27s_shopkeeper
Vasily Dimitrov|Vasily_Dimitrov
Dobby|Dobby
Sara Farnham|Sara_Farnham
Bilius Finbok|Bilius_Finbok
Dymphna Furmage|Dymphna_Furmage
Queenie Goldstein|Queenie_Goldstein
Gunhilda de Gorsemoor|Gunhilda_de_Gorsemoor
Malodora Grymm|Malodora_Grymm
Millie Gudabi|Millie_Gudabi
Don Harrison|Don_Harrison
Jarleth Hobart|Jarleth_Hobart
Clara Ivanova|Clara_Ivanova
Montague Knightley|Montague_Knightley
Alain Lacroix|Alain_Lacroix
Cerberus Langarm|Cerberus_Langarm
Barnaby Lee|Barnaby_Lee
Alexei Levski|Alexei_Levski
Beaumont Marjoribanks|Beaumont_Marjoribanks
Miraphora Mina (Ministry employee)|Miraphora_Mina_(Ministry_employee)
Cordelia Misericordia|Cordelia_Misericordia
Carlotta Pinkstone|Carlotta_Pinkstone
Potters' cat|Potters%27_cat
Gethsemane Prickle|Gethsemane_Prickle
Raymond's kitten|Raymond%27s_kitten
Harvey Ridgebit|Harvey_Ridgebit
Rosmerta|Rosmerta
Megan Scott|Megan_Scott
Gaspard Shingleton|Gaspard_Shingleton
Skower|Skower
Sacharissa Tugwood|Sacharissa_Tugwood
Ivan Volkov|Ivan_Volkov
Dorcas Wellbeloved|Dorcas_Wellbeloved
Wendelin the Weird|Wendelin_the_Weird
Oswald Beamish|Oswald_Beamish
Philbert Chivers|Philbert_Chivers
Cordelia Vexmoor|Cordelia_Vexmoor
Silas Crump|Silas_Crump
Argus Filch|Argus_Filch
Jeremiah Garnet|Jeremiah_Garnet
Landlord of the Siren's Rest|Landlord_of_the_Siren%27s_Rest
Pandora Lovegood|Pandora_Lovegood
Unidentified ghost horse (I)|Unidentified_ghost_horse_(I)
Catriona McCormack|Catriona_McCormack
Yardley Platt|Yardley_Platt
Giant rat (creature)|Giant_rat_(creature)
Brodwin|Brodwin
Buckbeak|Buckbeak
Buried Vault Hungarian Horntail|Buried_Vault_Hungarian_Horntail
Crookshanks|Crookshanks
Dennis (toad)|Dennis_(toad)
Vlad Drakul|Vlad_Drakul
Ghoul in the Muggle Studies Classroom|Ghoul_in_the_Muggle_Studies_Classroom
Goliath|Goliath
Hedwig|Hedwig
Herpo the Foul|Herpo_the_Foul
Hieronymus|Hieronymus
Rolanda Hooch|Rolanda_Hooch
Mrs Norris|Mrs_Norris
Murcus|Murcus
Carmilla Sanguina|Carmilla_Sanguina
